season,age_int,players,total_goals,total_shots,goals_per_shot
2425,33,19,35,212,0.1650943396226415
2425,32,29,80,561,0.14260249554367202
2425,23,37,97,681,0.14243759177679882
2425,22,33,42,305,0.1377049180327869
2425,21,25,22,169,0.1301775147928994
2425,27,51,120,969,0.1238390092879257
2425,29,36,98,796,0.12311557788944724
2425,30,32,74,613,0.12071778140293637
2425,25,43,82,696,0.11781609195402298
2425,26,38,63,572,0.11013986013986014
2425,24,43,64,584,0.1095890410958904
2425,20,34,26,244,0.10655737704918032
2425,34,8,13,125,0.104
2425,35,12,3,30,0.1
2425,31,33,45,481,0.09355509355509356
2425,28,42,68,742,0.09164420485175202
2425,36,3,2,32,0.0625
2425,19,20,0,16,0.0
2425,39,4,0,15,0.0
2425,18,20,0,1,0.0
