season,season_label,team,avg_age,matches,total_goals,total_shots,goals_per_shot
2425,2024/2025,Bayern Munich,25.970588235294116,34,99,646,0.15325077399380804
2425,2024/2025,Borussia Dortmund,25.37142857142857,34,71,484,0.14669421487603307
2425,2024/2025,Bayer Leverkusen,25.903225806451612,34,72,505,0.14257425742574256
2425,2024/2025,Eintracht Frankfurt,25.266666666666666,34,68,485,0.1402061855670103
2425,2024/2025,VfB Stuttgart,25.15625,34,64,471,0.13588110403397027
2425,2024/2025,Borussia Mönchengladbach,26.06896551724138,34,55,418,0.13157894736842105
2425,2024/2025,Holstein Kiel,27.107142857142858,34,49,373,0.13136729222520108
2425,2024/2025,Mainz,27.642857142857142,34,55,421,0.13064133016627077
2425,2024/2025,RB Leipzig,24.37142857142857,34,53,409,0.1295843520782396
2425,2024/2025,VfL Wolfsburg,25.4,34,56,437,0.12814645308924486
2425,2024/2025,Werder Bremen,26.21875,34,54,429,0.1258741258741259
2425,2024/2025,SC Freiburg,26.96551724137931,34,49,409,0.1198044009779951
2425,2024/2025,TSG Hoffenheim,25.714285714285715,34,46,443,0.1038374717832957
2425,2024/2025,1. FC Heidenheim 1846,27.79310344827586,34,37,403,0.09181141439205956
2425,2024/2025,FC Augsburg,26.235294117647058,34,35,399,0.08771929824561403
2425,2024/2025,1. FC Union Berlin,28.0,34,35,417,0.08393285371702638
2425,2024/2025,VfL Bochum,27.580645161290324,34,33,436,0.07568807339449542
2425,2024/2025,St. Pauli,26.176470588235293,34,28,379,0.07387862796833773
