matchday,total_goals_2020-2021,total_goals_2021-2022,total_goals_2022-2023,total_goals_2023-2024,total_goals_2024-2025
1,36,27,33,34,30
2,27,27,28,31,26
3,29,32,25,35,35
4,19,28,24,38,35
5,29,25,25,26,35
6,26,22,23,28,27
7,36,31,17,30,33
8,31,27,36,33,23
9,33,29,30,42,25
10,33,30,37,31,19
11,27,21,34,29,30
12,24,23,28,22,30
13,19,34,32,23,32
14,24,41,33,29,28
15,32,27,26,21,37
16,20,30,41,31,24
17,21,19,29,16,35
18,36,30,28,26,32
19,27,25,28,25,30
20,27,32,27,23,23
21,21,31,26,22,19
22,24,33,23,24,19
23,28,33,21,33,30
24,22,23,31,32,22
25,26,22,26,32,23
26,30,24,26,36,31
27,19,21,26,22,24
28,30,26,29,29,25
29,25,25,33,26,26
30,28,21,17,30,31
31,26,35,28,26,25
32,30,35,42,34,33
33,28,32,32,28,31
34,35,33,27,38,31
